WORD , COUNT
couldn , 16
wore , 16
excitedly , 16
Mermaids , 16
Their , 16
drawn , 16
cared , 16
seeing , 16
brain , 16
clear , 16
Instead , 16
gallant , 16
borne , 16
owing , 16
middle , 16
bath , 16
lose , 16
flown , 16
disturb , 16
examined , 16
pretending , 16
jolly , 16
noticed , 16
ways , 16
sleepy , 16
popped , 16
stone , 16
horror , 16
England , 16
human , 16
crawled , 16
Indeed , 16
lie , 16
arrows , 16
pointing , 16
fourth , 16
triumph , 16
anon , 16
moved , 16
touched , 16
forces , 16
stare , 16
pause , 16
huskily , 16
years , 16
stern , 16
died , 16
wildly , 16
walls , 16
Friday , 16
Tom , 16
guess , 16
loving , 16
mischief , 16
completely , 16
wild , 16
hit , 16
drop , 16
fierce , 16
flight , 16
rule , 16
talked , 16
band , 16
bent , 16
Next , 16
yo , 16
advance , 16
craft , 16
dozen , 16
Flint , 16
Skylights , 16
Besides , 16
obeyed , 16
Great , 16
noise , 16
fatal , 16
shows , 16
bones , 16
hole , 16
advanced , 16
pathetic , 16
lovable , 16
spectacles , 16
mushroom , 16
family , 16
line , 16
extraordinary , 16
damp , 16
laughter , 16
exultation , 16
sang , 16
high , 16
staring , 16
remain , 16
size , 16
fluttered , 16
beating , 16
scared , 16
hoarsely , 16
babies , 16
tragic , 16
uncomfortably , 16
spot , 16
twice , 16
cosy , 16
busy , 16
watched , 16
gleefully , 16
solemn , 16
tut , 16
cup , 16
roses , 16
knock , 16
Very , 16
dearest , 16
pet , 16
turning , 16
thoughts , 16
Describe , 16
games , 16
attack , 16
moments , 16
stole , 16
hitting , 16
mark , 16
waters , 16
race , 16
smallest , 16
spoken , 16
proper , 16
timidly , 16
desert , 16
codfish , 16
muttered , 16
scornfully , 16
overboard , 16
foe , 16
cheering , 16
faith , 16
slip , 16
seized , 16
lifted , 16
o , 16
creature , 16
chair , 16
poor , 16
scene , 16
Saturday , 16
invited , 16
draught , 16
enemy , 16
secret , 16
poisoned , 16
hissed , 16
brig , 16
smiled , 16
gown , 16
aboard , 16
doodle , 16
doo , 16
Something , 16
remorse , 16
Class , 16
angry , 12
ashamed , 12
behaved , 12
horrid , 12
roared , 12
bitterly , 12
naughty , 12
Bring , 12
refuse , 12
lord , 12
pearls , 12
instant , 12
Alas , 12
craved , 12
wretched , 12
passage , 12
smaller , 12
usually , 12
guard , 12
punishment , 12
eyed , 12
stealing , 12
COME , 12
either , 12
pocket , 12
bell , 12
pooh , 12
pipes , 12
advantage , 12
slightly , 12
entered , 12
jug , 12
loveliest , 12
tinkle , 12
golden , 12
dressing , 12
jumped , 12
drops , 12
soap , 12
failed , 12
shudder , 12
courteously , 12
learned , 12
grand , 12
growled , 12
sinking , 12
distress , 12
gets , 12
desire , 12
presence , 12
Fortunately , 12
tall , 12
bag , 12
sewed , 12
behaving , 12
genius , 12
cleverness , 12
conceit , 12
swallowed , 12
brutal , 12
Two , 12
Unfortunately , 12
gently , 12
sign , 12
brute , 12
aghast , 12
knocking , 12
lucky , 12
discover , 12
correct , 12
talking , 12
wondering , 12
puzzling , 12
treasure , 12
stay , 12
post , 12
twenty , 12
clutching , 12
sufficiently , 12
apologetically , 12
cheque , 12
confused , 12
measles , 12
offered , 12
pressing , 12
houses , 12
dinner , 12
hurried , 12
cheek , 12
greedy , 12
gripped , 12
number , 12
shares , 12
tone , 12
edge , 12
tucked , 12
shook , 12
rubbed , 12
knife , 12
Everything , 12
wrong , 12
Out , 12
Hide , 12
curtains , 12
wet , 12
Kensington , 12
happening , 12
hurry , 12
forgetting , 12
manners , 12
shame , 12
lift , 12
sounds , 12
mid , 12
miles , 12
hesitated , 12
fine , 12
breathe , 12
sigh , 12
surely , 12
carelessly , 12
sighted , 12
instructions , 12
implicitly , 12
dancing , 12
skeleton , 12
falling , 12
Follow , 12
walking , 12
worst , 12
stocks , 12
roll , 12
twentieth , 12
